"Entity","Code","Year","price_with_tax_weighted_by_share_of_co2"
"Belgium","BE",2010,0
"Belgium","BE",2011,0
"Belgium","BE",2012,0
"Belgium","BE",2013,0
"Belgium","BE",2014,0
"Belgium","BE",2015,0
"Belgium","BE",2016,0
"Belgium","BE",2017,0
"Belgium","BE",2018,0
"Belgium","BE",2019,0
"Belgium","BE",2020,0
"Belgium","BE",2021,0
"Canada","CA",2010,0
"Canada","CA",2011,1.0938313
"Canada","CA",2012,1.3553438
"Canada","CA",2013,1.3893101
"Canada","CA",2014,1.3589615
"Canada","CA",2015,1.3733317
"Canada","CA",2016,1.4689059
"Canada","CA",2017,2.9891312
"Canada","CA",2018,4.0160604
"Canada","CA",2019,7.88696
"Canada","CA",2020,9.68268
"Canada","CA",2021,11.490305
"France","FR",2010,0
"France","FR",2011,0
"France","FR",2012,0
"France","FR",2013,0
"France","FR",2014,2.042695
"France","FR",2015,10.707229
"France","FR",2016,16.03594
"France","FR",2017,21.845184
"France","FR",2018,32.758324
"France","FR",2019,32.34477
"France","FR",2020,31.548285
"France","FR",2021,31.289219
"Israel","IL",2010,0
"Israel","IL",2011,0
"Israel","IL",2012,0
"Israel","IL",2013,0
"Israel","IL",2014,0
"Israel","IL",2015,0
"Israel","IL",2016,0
"Israel","IL",2017,0
"Israel","IL",2018,0
"Israel","IL",2019,0
"Israel","IL",2020,0
"Israel","IL",2021,0
"Netherlands","NL",2010,0
"Netherlands","NL",2011,0
"Netherlands","NL",2012,0
"Netherlands","NL",2013,0
"Netherlands","NL",2014,0
"Netherlands","NL",2015,0
"Netherlands","NL",2016,0
"Netherlands","NL",2017,0
"Netherlands","NL",2018,0
"Netherlands","NL",2019,0
"Netherlands","NL",2020,0
"Netherlands","NL",2021,0
"Sweden","SE",2010,68.29033
"Sweden","SE",2011,67.82612
"Sweden","SE",2012,70.42767
"Sweden","SE",2013,69.52889
"Sweden","SE",2014,72.172195
"Sweden","SE",2015,71.51759
"Sweden","SE",2016,70.068275
"Sweden","SE",2017,68.63344
"Sweden","SE",2018,56.586327
"Sweden","SE",2019,56.3173
"Sweden","SE",2020,56.326817
"Sweden","SE",2021,55.09485
"Switzerland","CH",2010,8.857406
"Switzerland","CH",2011,7.716105
"Switzerland","CH",2012,8.226921
"Switzerland","CH",2013,8.532256
"Switzerland","CH",2014,11.974738
"Switzerland","CH",2015,13.267141
"Switzerland","CH",2016,19.253305
"Switzerland","CH",2017,18.702318
"Switzerland","CH",2018,19.92685
"Switzerland","CH",2019,19.947943
"Switzerland","CH",2020,20.048761
"Switzerland","CH",2021,19.764894
"United Kingdom","UK",2010,0
"United Kingdom","UK",2011,0
"United Kingdom","UK",2012,0
"United Kingdom","UK",2013,2.2310882
"United Kingdom","UK",2014,3.370998
"United Kingdom","UK",2015,5.442432
"United Kingdom","UK",2016,4.8465056
"United Kingdom","UK",2017,4.2619977
"United Kingdom","UK",2018,3.8060641
"United Kingdom","UK",2019,3.730883
"United Kingdom","UK",2020,3.5501459
"United Kingdom","UK",2021,3.5399458
"United States","US",2010,0
"United States","US",2011,0
"United States","US",2012,0
"United States","US",2013,0
"United States","US",2014,0
"United States","US",2015,0
"United States","US",2016,0
"United States","US",2017,0
"United States","US",2018,0
"United States","US",2019,0
"United States","US",2020,0
"United States","US",2021,0
